,순위,title,genre,year,date,rating,vote_count,plot,main_act,,
0,1.0,나인,드라마,,,6,1,"“어느 날, 식물들의 목소리가 들리기 시작했다.”독보적 상상력, 폭발하는 스토리텔링!재미와 감동을 전 세대에 전하는 소설Y 시리즈가 새로운 K-영어덜트의 세계를 펼쳐 보인다. 한국형 영어덜트 소설의 지평을 넓히는 이번 시리즈의 두 번째 권으로 제4회 한국과학문학상 대상을 수상한 천선란 작가의 신작 장편소설 『나인』이 출간되었다. 이 소설은 평범한 고등학생 ‘나인’이 어느 날 식물들의 목소리를 듣기 시작하면서 펼쳐지는 이야기다. 숲의 속삭임을 따라 우연히 2년 전 실종 사건의 전말을 알게 된 나인은 친구 미래, 현재, 승택과 함께 숨겨진 진실을 파헤치기 시작한다. 사소한 것도 지나치지 않는 나인과 친구들의 모습은 우리가 어떤 목소리에 귀 기울여야 하는지를 깊이 성찰하게 한다. 흡인력 있는 스토리 전개와 참신한..",천선란,,
1,2.0,행성어 서점,드라마,,,9,221,"“내가 당신을 한 번만 안아봐도 될까요?”열네 편의 낯설고도 감각적인 이야기한국 SF문학의 새로운 지평을 연 김초엽 신작 짧은 소설집 출간한국문학 독자들에게 지금 이 시절은 ‘김초엽’으로 기억되지 않을까. 2018년 첫 소설집 『우리가 빛의 속도로 갈 수 없다면』으로 본격적인 작품 활동을 시작한 지 불과 4년 만에, 그는 문단 안팎 가장 눈에 띄는 자리에 자신의 이름을 꼼꼼히 새겨놓았다. 탁월한 상상력을 자양분 삼아 꾸준히 발표해온 작품들로 보건대, 김초엽이 단기간에 획득한 수많은 성취와 수식어는 마땅한 것으로 느껴진다.마음산책 열두 번째 짧은 소설은 한국 SF문학의 새로운 지평을 연 소설가 김초엽의 『행성어 서점』이다. 그는 “산뜻한 이야기의 마을”에서 수집해온 열네 편의 이야기를 진진하게 펼쳐간다. 우리..",김초엽,,
2,3.0,방금 떠나온 세계,드라마,,,9,221,"한국 문학의 눈부신 미래, 김초엽 두 번째 소설집 출간“사랑하지만 끝내 이해할 수 없는 것이 당신에게도 있지 않나요.”지금까지의 김초엽이 SF를 말할 때 가장 먼저 소개되는 작가였다면, 지금의 김초엽은 한국 문학을 말할 때 가장 먼저 소환되어야 하는 작가가 되었다. “김초엽의 소설을 읽다 보면, 이 세계가 1인치쯤 더 확장되는 느낌을 받게 된다”는 강지희 평론가의 말처럼(제11회 젊은작가상 심사평 중) 김초엽의 소설은 여느 SF가 그렇듯이 지금 여기가 아닌 다른 시공간에서의 이야기를 다루면서도, 다른 진실과, 다른 감정, 처음 마주하게 되는 아득한 경이의 순간으로 우리를 이끈다. 《방금 떠나온 세계》는 〈관내분실〉과 〈우리가 빛의 속도로 갈 수 없다면〉으로 제2회 한국과학문학상 중단편 대상과 가작을 동시 수..",김초엽,,
3,4.0,너를 닮은 사람,드라마,,,6,1,"네가 부러웠다. 네가 가진 모든 것들, 네가 가지지 못한 것들, 어느 하나 부럽지 않은 것이 없었다.JTBC 드라마 〈너를 닮은 사람〉 원작 소설 수록!*어느 날, 과거가 나를 찾아왔다젊은작가상, 김준성문학상, 한국일보문학상 수상 작가 정소현의 첫 소설집세상의 모순을 정확하고 기민하게 추적하는 작가 정소현의 첫 소설집 『실수하는 인간』(2012)이 『너를 닮은 사람』(2021)으로 재출간되었다. JTBC 드라마 〈너를 닮은 사람〉의 원작 소설을 포함해 일부 표현을 다듬고 새로운 호흡으로 읽힐 수 있도록 배치를 바꾼 소설 8편이 수록되어 있다. 2008년 『문화일보』 신춘문예로 작품 활동을 시작해 소설집 두 권과 장편소설 한 권을 출간하는 동안 정소현은 현실을 “괴로울 정도로 정확하게”(정세랑) 대면하게 만드..",정소현,,
4,5.0,크리스마스 피그,드라마,,,6,1,"장난감을 사랑하는 어린이는 물론, 장난감을 사랑했던 아련한 추억이 있는성인에게 최고의 크리스마스 선물이 되어줄 책!누군가를 순수하게 사랑해 본 경험이 있는 우리 모두를 위한가슴 따뜻한 모험이 펼쳐진다2019년부터 시작한 코로나 바이러스는 전 세계에 크나큰 영향을 끼쳤다. 평범한 일상은 꿈같은 일이 되었고, 경제적 타격으로 수많은 사람들이 슬픔에 빠졌다. J.K. 롤링은 이렇듯 시련을 겪고 있는 사람들의 마음에 조금이나마 위로를 줄 수 있는 방법을 고심했다. 코로나 바이러스가 전 세계에 본격적으로 유행하기 시작한 2020년, J.K. 롤링은 어린이들과 보호자들을 위해 《이카보그》를 인터넷에 무료로 연재한 뒤 어린이들의 그림을 담아 단행본으로 출간했다. 그리고 2021년 올해, 코로나 바이러스를 겪고 있는 어린..",J.K. 롤링,,
5,6.0,1차원이 되고 싶어,드라마,,,6,1,"“이 소설은 박상영의 이름 앞에 붙는 수식어들을 바꿀 것이다.”_정세랑(소설가)“이 소설은 그런 작품이다. 사랑으로 인해 알게 된 나약하고 음험하며 비겁했던 나를, 그 순간의 절망적인 행복감을 기억하게 하는. 그래서 매료당하고 그래서 심장이 뛴다.” _변영주(영화감독)젊은작가상 대상, 신동엽문학상 수상 작가 박상영 첫 장편소설2019년 「우럭 한 점 우주의 맛」으로 “대범하고 진실하기 때문에 힘이 있”(소설가 김성중)다는 평을 받으며 젊은작가상 대상을, 2021년 『대도시의 사랑법』으로 “낡은 관계와 관념을 무너뜨리는 혁신적 면모를 보여줬다”(신동엽문학상 심사위원회)는 평을 받으며 신동엽문학상을 수상한 박상영 작가의 첫 장편소설 『1차원이 되고 싶어』가 출간되었다. 2020년 상반기에 웹진 〈주간 문학동네〉..",박상영,,
6,7.0,소문,드라마,,,9,221,"“마지막 4글자에 모든 것이 뒤바뀐다!”일본 미스터리 역사상 최고의 반전이라는 입소문이그 자체로 진실이 된 바로 그 소설, 『소문』 복간!새로 런칭하는 향수 홍보를 위해 거짓 소문이 퍼진다. ‘한밤중 시부야에 뉴욕에서 온 살인마 레인맨이 나타나서 소녀들을 죽이고 발목을 잘라 가는데, 뮈리엘 로즈를 뿌리면 괜찮다’라고 하는 도시전설과 같은 소문. 이 소문은 여고생들의 입을 타고 시부야를 중심으로 퍼져나가며 향수는 선풍적인 인기를 끌고 입소문 전략은 대성공을 거둔다. 그런데 소문이 현실이 되어 발목이 잘린 소녀의 시체가 하나둘 발견되는데…. 2009년 국내에 처음 출간된 후 미스터리 독자들 사이에서 최고의 반전 소설으로 꼽혔던 오기와라 히로시의 서..",오기와라 히로시,,
7,8.0,지구 끝의 온실,드라마,,,9,221,"김초엽 첫 장편소설, 모두가 간절히 기다려온 이야기이미 폭넓은 독자층을 형성하며 열렬한 사랑을 받고 있는 김초엽 작가는 더스트로 멸망한 이후의 세계를 첫 장편소설의 무대로 삼았다. 그는 지난해 말 플랫폼 연재를 통해 발표한 이야기를 반년이 훌쩍 넘는 시간 동안 수정하면서 한층 더 무르익도록 만들었다. 그리하여 장 구성부터 세부적인 장면은 물론 문장들까지 완전히 새롭게 탄생한 『지구 끝의 온실』이 2021년 8월 드디어 독자들을 만난다. 『지구 끝의 온실』은 자이언트북스의 네 번째 도서이다. 김중혁의 첫 시리즈 소설 『내일은 초인간』, 배명훈 장편소설 『빙글빙글 우주군』, 그리고 한국문학의 빛나는 일곱 명의 작가가 ‘즐거움’을 키워드로 쓴 단편소설을 묶은 앤솔로지 『..",김초엽,,
8,9.0,백조와 박쥐,드라마,,,6,1,"‘죄와 벌의 문제는 누가 재단할 수 있는가’히가시노 게이고 작가 데뷔 35주년 기념작품“앞으로의 목표는 이 작품을 뛰어넘는 것입니다.”히가시노 게이고“다른 어떤 작품보다 번역의 보람을 진하게 느꼈다.의미 있는 독서를 원하는 모든 이들에게 강력하게 추천하고자 한다.”옮긴이 양윤옥■ 이 책은전 세계 누적 판매 1300만 부 베스트셀러 『나미야 잡화점의 기적』 작가이자, 현존하는 일본 추리소설계 최고의 거장으로 손꼽히는 히가시노 게이고의 장편소설 『백조와 박쥐』가 현대문학에서 출간되었다. 데뷔 35주년을 맞아 2021년 4월에 발표한 이 소설은 한국어판 기준 총 568쪽, 원고지 2천 매가 넘는 대작으로, 2007년부터 15년 가까이 히가시노의 주요 작품들을 우리말로 옮겨온 일본 문학 전문 번역가 양윤옥이 번역을..",히가시노 게이고,,
9,10.0,달러구트 꿈 백화점 2,드라마,,,9,221,"100만 독자를 사로잡은 《달러구트 꿈 백화점》, 그 두 번째 이야기어느덧 페니가 달러구트 꿈 백화점에서 일한 지도 1년이 넘었다.재고가 부족한 꿈을 관리하고, 꿈값 창고에서 감정으로 가득 찬 병을 옮기고, 프런트의 수많은 눈꺼풀 저울을 관리하는 일에 능숙해진 페니는 자신감이 넘친다. 게다가 꿈 산업 종사자로 인정을 받아야만 드나들 수 있는 ‘컴퍼니 구역’에도 가게 된 페니는 기쁜 마음을 감출 수 없다. 하지만 그곳에서 페니를 기다리고 있는 건, 꿈에 대한 불만을 털어놓는 사람들로 가득한 ‘민원관리국’이었다. 설상가상 달러구트는 아주 심각한 민원 하나를 통째로 페니에게 맡기는데…“왜 저에게서 꿈까지 뺏어가려고 하시나요?”라는 알쏭달쏭한 민원을 남기고 발길을 끊어버린 792번 단골손님.페니는 과연 달러구트 꿈..",이미예,,
10,11.0,밝은 밤,드라마,,,9,221,"“슬픔을 위로하고 감싸주는 더 큰 슬픔의 힘” _오정희(소설가)백 년의 시간을 감싸안으며 이어지는 사랑과 숨의 기록 『쇼코의 미소』 『내게 무해한 사람』 최은영 첫 장편소설공감을 불러일으키는 이야기와 서정적이며 사려 깊은 문장, 그리고 그 안에 자리한 뜨거운 문제의식으로 등단 이후 줄곧 폭넓은 독자의 지지와 문학적 조명을 두루 받고 있는 작가 최은영의 첫 장편소설. ‘문화계 프로가 뽑은 차세대 주목할 작가’(동아일보) ‘2016, 2018 소설가들이 뽑은 올해의 소설’(교보문고 주관) ‘독자들이 뽑은 한국문학의 미래가 될 젊은 작가’(예스24) 등 차세대 한국소설을 이끌 작가를 논할 때면 분야를 막론하고 많은 사람들의 머릿속에 가장 선명히 떠오르며 활발한 작품활동을 이어가던 최은영 작가는 2019년, 예정돼..",최은영,,
11,12.0,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",드라마,,,6,1,"※ 인터넷 한정 특별판: 매장 구매, 바로드림 구매 시에는 기존 일반판 표지와 랜덤으로 제공됩니다.제26회 전격소설대상 ‘미디어워크스문고상’ 수상작총 4,607편의 응모 작품 중 최고로 손꼽힌 걸작,모든 심사위원이 눈물을 쏟은 압도적 작품!“머리가 아플 정도로 펑펑 울고 말았다.반드시, 반드시 읽어야 할 작품이다.” _아마존 독자평밤에 자고 일어나면 기억이 리셋되는 ‘선행성 기억상실증’을 앓는 소녀 히노 마오리와 무미건조한 인생을 살고 있는 평범한 고등학생 가미야 도루의 풋풋하고 애틋한 사랑 이야기.선행성 기억상실증이라는 익숙한 소재를 매우 수준 높은 청춘 소설로 탄생시켰다는 극찬을 받으며 제26회 전격소설대상 ‘미디어워크스문고상’을 수상한 이 작품은 간질간질한 청춘의 로맨스를 전혀 예측할 수 없는 국면으로..",이치조 미사키,,
12,13.0,고구려 7,드라마,,,6,1,"고대사부터 고조선, 고구려까지 몽땅 중국의 역사로 쓸어 담는 동북공정!그 허구를 깨는 웅혼한 고구려의 역사가 되살아난다.대한민국 역사소설의 새로운 장을 여는 작품! 이례적인 베스트셀러 작가 김진명 필생의 역작 『고구려』의 개정판과 신작이 동시에 묶여 출간된다. 기존 출시되어있는 여섯 권(1~6권)의 개정판에, 소수림왕 후기를 다룬 신간 7권이 더해져 고구려 최전성기를 관통하는 왕들의 살아 숨 쉬는 일대기를 한 번에 만나볼 수 있다.1993년 『무궁화꽃이 피었습니다』로 데뷔한 이래, 작가 김진명의 가슴 깊숙한 곳에는 언젠가는 반드시 써내고 말아야 할 한 작품이 도사렸다. 영원의 바람으로 새겨 온 그 필생작은 바로 ‘고구려’였다. 17년의 각고 끝에 첫 선을 보인 소설 『고구려』는 현대와 같이 급변하는 당시 동..",김진명,,
13,14.0,완전한 행복,드라마,,,6,1,"다시, 정유정!자기애의 늪에 빠진 삶은 얼마나 위태로운가,압도적 서사 위 정교하고 서늘한 공포 우리가 기다린 바로 그, 정유정!《내 인생의 스프링 캠프》 《내 심장을 쏴라》 《7년의 밤》 《28》 《종의 기원》 《진이, 지니》. 발표하는 작품마다 독자들의 열광적인 지지를 받으며 한국문학의 대체불가한 작가로 자리매김한 정유정이 신작 《완전한 행복》으로 돌아왔다. 500여 쪽을 꽉 채운 압도적인 서사와 적재적소를 타격하는 속도감 있는 문장, 치밀하고 정교하게 쌓아올린 플롯과 독자의 눈에 작열하는 생생한 묘사로 정유정만의 스타일을 가감 없이 보여주는 한편, 더 완숙해진 서스펜스와 인간의 심연에 대한 밀도 높은 질문으로 가득 찬 수작이다. 《완전한 행복》은 버스도 다니지 않는 버려진 시골집에서 늪에 사는 오리들을 ..",정유정,,
14,15.0,죽이고 싶은 아이,드라마,,,6,1,"『세계를 건너 너에게 갈게』 작가 이꽃님 신작“팩트는 중요하지 않아. 사람들이 믿는 게 더 중요하지.”조각난 진실과 부서진 믿음에 관한 이야기십 대들의 외롭고 불안한 내면을 따뜻하게 어루만져 주는 작품으로 주목받아 온 이꽃님 작가가 결말을 예측할 수 없는, 놀랍도록 흡인력 있는 작품으로 돌아왔다. 『죽이고 싶은 아이』는 한 여고생의 죽음이라는, 결코 평범하지 않은 이야기를 통해 독자들에게 진실과 믿음에 관한 이야기를 건넨다. 소설의 주인공인 주연과 서은은 둘도 없는 단짝 친구다. 두 사람이 크게 싸운 어느 날, 학교 건물 뒤 공터에서 서은이 시체로 발견되고 가장 유력한 용의자로 주연이 체포된다. 그런데 어찌 된 일인지 주연은 그날의 일이 도무지 기억나지 않는다. 주연은 정말 서은을 죽였을까? 이야기는 주연과..",이꽃님,,
15,16.0,문명 1,드라마,,,6,1,"인류 문명의 끝에서 새로운 이야기가 시작된다!프랑스 25만 부 판매 베스트셀러베르나르 베르베르 신작 장편소설전염병과 테러, 전쟁으로 한계에 다다른 인류 문명그 자리를 대신할 새로운 문명은 어디에 -베스트셀러 작가 베르나르 베르베르의 신작 장편소설 『문명』(전2권)이 프랑스문학 전문 번역가 전미연의 번역으로 열린책들에서 출간되었다. 소설의 배경은 전염병으로 수십억 명이 사망하고, 테러와 전쟁으로 황폐해진 세계. 이 소설이 프랑스에서 처음 출간된 2019년에만 해도 흔히 사용되는 디스토피아적 배경에 불과했겠지만 코로나 시대를 살아가는 지금 우리에게는 더욱더 생생하게 느껴지는 설정이다.『문명』은 인류 문명이 벼랑 끝에 다다른 세상을 무대로 『고양이』의 주인공이었던 고양이 바스테트가 모험을 펼치는 소설이다. 고양이..",베르나르 베르베르,,
16,17.0,문명 2,드라마,,,6,1,"인류 문명의 끝에서 새로운 이야기가 시작된다!프랑스 25만 부 판매 베스트셀러베르나르 베르베르 신작 장편소설전염병과 테러, 전쟁으로 한계에 다다른 인류 문명그 자리를 대신할 새로운 문명은 어디에 -베스트셀러 작가 베르나르 베르베르의 신작 장편소설 『문명』(전2권)이 프랑스문학 전문 번역가 전미연의 번역으로 열린책들에서 출간되었다. 소설의 배경은 전염병으로 수십억 명이 사망하고, 테러와 전쟁으로 황폐해진 세계. 이 소설이 프랑스에서 처음 출간된 2019년에만 해도 흔히 사용되는 디스토피아적 배경에 불과했겠지만 코로나 시대를 살아가는 지금 우리에게는 더욱더 생생하게 느껴지는 설정이다.『문명』은 인류 문명이 벼랑 끝에 다다른 세상을 무대로 『고양이』의 주인공이었던 고양이 바스테트가 모험을 펼치는 소설이다. 고양이..",베르나르 베르베르,,
