userid,24BqEWE785rjn,2mwvg7EagvMa7,2mwvgaAjwxMa7,2mwvgbGLgqMa7,2mwvggAE2vMa7,2mwvgLpo25Ma7,2mwvgYmarxMa7,36lvX3jzZqXdn,36lvXmWQZ5Xdn,3BnvwpKaj5PAY,3BnvwZ6bZqPAY,4WLxZaDz65roA,4WLxZaXN75roA,4WLxZB8nkxroA,4WLxZKgdmqroA,4WLxZmblW5roA,4WLxZZ3wkxroA,4WLxZZ7D8xroA,6ADvG0XPK5zZl,6ADvGZ98eqzZl,6ewxaPbAwO5Q1,6NW5Qb02wx1Yo,6NW5QB9Lyx1Yo,6NW5QBDzwx1Yo,6NW5QzzJkx1Yo,7gdxdr7e9vGYJ,87Gv741ND5E6o,87Gv7bQzmqE6o,8BRve6JpL56VJ,8nPvyGzRZxYo0,박지수,영화고독발버둥치며본다,진,a9L5PGKL2vwg8,a9L5PJm1Bqwg8,a9L5PwPPOvwg8,a9L5sdfPwPPOvw,DgwxAeQYNxrMj,DgwxAMlN6MxrM,DgwxAOYkmvrMj,djaxbAlJ85Lw8,djaxbPXZmPvLw,dP8v6EReBqWeJ,dP8v6kzE85WeJ,g64qzYGMkLxER,g64qzzm63qER0,j4PxO4WKkqp0Q,jae5W9dgaq1P3,jae5WedVaq1P3,JgAx88jRVxLbO,JgAx8ddMwxLbO,JgAx8e8mDqLbO,JgkqlD9DaqX0b,JgkqlVwKb5X0b,JYMKqmw6m5loD,JZ4vB6BpJ4vRX,JZ4vBDRXlxRXO,JZ4vBnwVlvRXO,JZ4vBQBWZqRXO,JZ4vBRBaWvRXO,K6ExjnbD8xX1O,K8nPvyyY4vYo0,KWRQxDPXVxdl9,ld0q00rV4q6Xn,ld0q06DkE56Xn,live_all,mK6Exjd0XvX1O,Mr95n0B8NjqZP,Mr95nOEQlxZPG,nb4xk13aGvOAz,nkPvrPdl4Oxga,nkPvrQnADqgar,NP9vLYm4Z56kl,OkexJZZL6xdbw,OQ9L5p9jKxNb0,Pznx9Kb4QWv76,Pznx9KKJNov76,Pznx9O1Xjv761,Pznx9Oaazv761,Pznx9PVLn5761,Q9L5pAD2YMxNb,Q9L5pArzlLxNb,Q9L5pJXkeqNb0,Q9L5pzJG8qNb0,Qgy510L2evDjk,Qgy51YE8X5Djk,R6OvK7DEYvN8V,RE952mkMKdvQ7,VRZv42pVwxr6y,VRZv48BKPvr6y,VRZv4BaEEnxr6,WRQxDBkjXvdl9,WRQxDz3wDvdl9,WwRqoVAAyxlzB,YaR5YNAAyxgX1,yKZx379eOx4dJ,yKZx38n8Oq4dJ,yKZx3nJg254dJ,yKZx3Qom0v4dJ,YMKqmAWbrqloD,YMKqmekarqloD,YMKqmLrErxloD,YMKqmne6Pkvlo,YMKqmwrVr5loD,ZBm5Rgkl9xd46,ZBm5RNnk95d46,ZBm5RVn735d46,zNM5N1gz7v26j,zNM5NARwPGv26,ZWpqMaWa1qrkn,ZWpqMMERlqrkn,총합계
title,rating(합계),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.67,,,,,,,4.0,,4.0,,,,,,,,,,,,,3.5,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,3.5,,4.0,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,4.0,,,,,,4.0,5.0,,,,,,,,,,42.5
1984,5.0,,3.5,,,5.0,4.5,,4.0,4.5,4.5,4.0,,,,,,,5.0,,,4.5,3.5,4.5,5.0,4.5,,4.5,,,,,,,3.5,,,,,,,,,,2.5,,,4.0,,5.0,,3.0,,,,4.5,4.0,4.0,,,4.5,5.0,,,,,4.5,,,3.5,,,,,4.0,4.0,3.0,5.0,5.0,5.0,,,,,3.0,5.0,4.0,5.0,,,4.0,,5.0,5.0,4.5,5.0,,,,4.0,,4.0,,,4.5,5.0,,,,,4.5,203.0
10 1/2장으로 쓴 세계 역사,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
1001개의 거짓말,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
11분,,3.0,3.5,,,3.5,4.5,,,,,,,,,,,,,5.0,,2.0,3.5,,4.0,,,,,3.5,,,,,,,,,,,,3.0,,,3.0,,,,,,,,,3.5,,,,,,4.5,,,,4.0,,,,,,,,,,,,,,,,3.0,,,,3.0,,,4.0,,3.0,,,3.5,,,2.0,,,,,4.0,,4.0,,,,,,,,,,77.0
13계단,,,,,,,3.5,,,,,4.0,,,,,,,3.5,,,4.0,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,4.5,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,2.0,,,,,,,,,,,,,,,,,33.5
19호실로 가다,,,,,,,,,3.5,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,14.5
1차원이 되고 싶어,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,5.0,4.0,,,,,,,,,,,,17.0
2001 스페이스 오디세이,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,8.5
2020 제11회 젊은작가상 수상작품집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,1.5,,,,,4.5,,3.5,3.0,,4.0,,,4.0,,,,,4.5,,,,,,,,,,,,32.5
"68년의 나날들, 조선의 일상사",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
7년의 밤,,,,,,,4.5,,3.5,,,3.5,,,,,,,,,,3.0,,,5.0,3.5,3.5,,5.0,,3.5,,,,,3.0,3.5,,,4.5,4.0,5.0,,4.0,,,4.0,3.0,,4.0,4.0,,,,,,,,,3.5,4.5,,,,,3.5,,,,,,,,,,3.0,,3.0,4.0,,,,,4.0,4.0,,4.5,,4.5,,3.5,4.0,4.5,,2.5,,,,4.0,,4.0,4.0,,3.5,,,,,,,,142.5
80일간의 세계일주,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,7.0
82년생 김지영,,4.0,3.0,,3.0,3.5,4.5,,,,,4.5,,,3.5,,,4.5,4.0,3.0,,3.0,4.0,4.5,5.0,4.0,2.5,3.5,,5.0,2.5,,,,3.0,4.0,,,,,,,,,,,3.5,4.0,,3.0,4.5,4.0,,,3.5,,,2.5,4.0,2.0,3.0,2.0,,,,2.5,,3.0,4.5,,,4.0,,,,3.5,,,4.0,3.5,,0.5,4.0,,3.5,,3.5,4.0,4.0,,,2.0,5.0,4.0,3.0,5.0,,,4.0,5.0,4.0,,,3.5,2.5,,3.0,4.5,,3.5,,208.0
가만히 좋아하는,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
가시고기,,2.5,2.5,4.0,,4.0,2.5,,3.0,,,,,,,,4.5,4.0,,,,3.0,4.0,2.5,,4.0,,,,,3.5,,,,2.5,,4.0,,,,3.0,5.0,,,,,,,,,,,4.5,3.0,,,5.0,,,3.5,3.5,,,,1.5,3.5,3.0,,,,,,,,,,,,5.0,3.0,,,,,1.5,3.5,,,4.0,,,3.5,5.0,4.0,,4.0,,,,,,0.5,,,,3.5,,,,,4.0,127.5
