,순위,책이름,저자,줄거리
0,1,사랑하라 한번도 상처받지 않은 것처럼,류시화,"시집 <그대가 곁에 있어도 나는 그대가 그립다> <외눈박이 물고기의 사랑>의 저자이며 잠언 시집 <지금 알고 있는 걸 그때도 알았더라면>을 소개해 ‘엮은 시집’이라는 새로운 지평을 연 류시화 시인이 이번에는 힐링 포엠(Healing Poem, 치유의 시)을 주제로 한 권의 시집을 엮어 출간했다. 힐링 포엠은 21세기에 들어와 서양의 여러 명상 센터에서 마음을 치유하기 위한 한 방법으로 ‘시’라는 도구를 사용하면서 새롭게 등장한 장르이다.고대 이집트 파피루스 서기관에서부터 노벨 문학상 수상자에 이르기까지 41세기에 걸쳐 시대를 넘나드는 유명, 무명 시인들의 시가 포함되어 있다. 메리 올리버, 비슬라바 쉼보르스카, 장 루슬로, 옥타비오 빠스, 이시카와 다쿠보.."
1,2,입 속의 검은 잎,기형도,"'문학과지성 시인선' 80권, 기형도 시집. 처음이자 마지막이 된 이 시집에서 기형도는 일상 속에 내재하는 폭압과 공포의 심리 구조를 추억의 형식을 통해 독특하게 표현하고 있다. 그의 시 세계는 우울한 유년 시절과 부조리한 체험의 기억들을 기이하면서도 따뜻하며 처절하면서도 아름다운 시공간 속에 펼쳐 보인다."
2,3,백범일지,김구,"참으로 진솔하고 감동적인 기록- 백범일지 전문연구자의 원전비평에 기초한 완벽한 정본 백범 김구 자서전. 『백범일지』는 친필 원본은 물론 등사본과 필사본, 여러 가지 출간본 등 여러 저본을 일일이 면밀하게 검토, 대조했다. 또한 사전류는 물론 고전, 규장각 자료 등의 고문서, 수많은 회고록, 일본, 중국 등 해외의 임정 관계 자료까지 두루 활용하고 여러 분야의 전문가들로부터 자문을 받아 원본의 미흡한 점과 착오 등을 수정, 보완했다. 27년간 대한민국 임시정부를 이끌어온 민족독립운동가이자, 자신의 전 생애를 조국과 민족을 위해 바친 겨레의 큰 스승인 백범의 삶을 잘 드러내고 있다."
3,4,자기만의 방,버지니아 울프,"20세기 페미니즘 문학에 크게 공헌한 두 편의 에세이를 묶었다. 버지니아 울프는 이 두 글에서 가부장제와 성적 불평등에 대한 예리한 공격을 가한다. '자기만의 방'은 1928년 10월 뉴넘 대학의 예술 협회와 거턴 대학의 오타에서 발표한 두 강연문에 기초한 글이며, '3기니'는 그 후속편으로 구상된 작품이다.버지니아 울프는 묻는다. 왜 언제나 남성들만이 권력과 부와 명성을 가지는가. 여성은 아이들 말고는 가진 것이 없는데. 그리고 주장한다. 만약 여성이 자유의 문을 열 수 있는 두 가지 열쇠만 찾을 수 있다면 미래에는 여성 셰익스피어가 나올 수 있으리라. 그 두 개의 열쇠는 바로 고정적인 소득과 자기만의 방이다.1929년에 발표된 '자기만의 방'은 여성의, 그중에서도 특히 여성 작가들의 지적 종속에 대해 재.."
4,5,행복의 정복,버트런드 러셀,"활발한 사회활동을 펼친 20세기의 지성으로 유명한 러셀이 쓴 단 한 권의 행복론. 행복이란 끊임없이 쟁취해야 하는 것이라는 러셀의 목소리를 담은 이 책은, 행복 자체를 회의하게 만들 정도로 불쾌한 인간의 여러 속성들을 적나라하게 파헤치면서도, 인간에 대한 신뢰와 행복으로 가는 길을 포기하지 않는다. 어떻게 행복해질 것인가라는 물음에 대해 러셀 특유의 명쾌한 답면으로 인생의 의미와 지향을 제시함으로써, 한없이 약하면서도 한없이 위대한 인간을 읽게 하는 책이다. 　이 책은 크게 2부로 구성되어 있다. 1부에서 저자는 인간이 불행을 느끼는 일상적 원인을 분석하면서 그 극복 방안을 제시한다. 러셀이 생각하는 행복의 비결을 다룬 2부에서는 삶에 대한 열정과 폭넓은 관심을 강조하고, 사랑의 신비, 일의 소중함에 대해 .."
5,6,탈무드,마빈 토카이어,"사람이 살아가는 의의는 무엇인가? 인간의 위엄이란 무엇인가? 행복이란 무엇인가? 사랑이란 무엇인가? 5천 년에 걸친 유태인의 지적 자산이 농축되어 있는 탈무드를 통해 그 해답을 얻는다. 참다운 삶을 생각하게 하는 탈무드의 내용을 교훈과 지혜, 명언 등의 주제별로 나눠 엮었다."
6,7,생명이 있는 것은 다 아름답다,최재천,"동물들이 사는 모습을 알면 알수록 그들을 더욱 사랑하게 되는 것은 물론 우리 스스로도 더 사랑하게 된다는 믿으로 이 글을 썼다는 저자. 그는 제1회 대한민국 과학문화상 수상자인 동시에 현재 서울대학교 생명과학부 교수이기도 하다. 개미군단의 만리장성 쌓기, 고래들의 따뜻한 동료애, 가시고기 아빠의 사랑, 갈매기의 이혼, 까치의 기구한 운명, 블루길 사회의 열린 교육, 황소개구리의 세계화, 여왕벌의 별난 모성애 등 이 책은 그가 각기 다른 동물들의 세계를 들여다보며 그들이 살아가는 이런저런 모습들을 애정어린 시선으로 담은 것이다."
7,8,마음사전,김소연,마음의 뉘앙스를 담아 표현한『마음사전』. 이 책은 시인인 저자가 마음의 바탕을 이루는 희로애락애오욕에 갖혀 있는 마음의 실마리를 찾아 정리한 것으로 시인의 감성과 직관을 담아 특별하고도 감성적으로 마음의 언어들을 들려준다.《마음사전》은 사람들이 늘상 번민하고 갈등하며 힘들어하는 마음의 실체를 미묘한 차이로 구분하여 섬세하게 접근한다. 십 수년간 마음관련 낱말 하나하나에 밑줄을 그으며 보고 듣고 느낀 것들을 묘사한 저자는 이를 통해 마음경영을 이루어지기를 바라고 일반 언어가 갖고 있는 보편성을 없앤다. 또한 '틈'이라는 보유편을 통해 본문에서 다루지 못한 낱말들을 군더더기 없이 단순하게 풀어내고 있다.
8,9,살아갈 날들을 위한 공부,레프 톨스토이,"<살아갈 날들을 위한 공부>의 문학사적 의의안타깝게도 톨스토이의 잠언집 3부작은 탁상용 달력으로 제작되어 판매될 정도로 대중적인 성공을 누렸지만, 문학사적으로는 큰 의미를 획득하지 못했다. 시대를 관통하는 금언과 명 구절들로 채워져 있지만, 100여 권에 달하는 톨스토이의 위대한 창작들 틈바구니에서 이 세 권의 책이 묻혀 버린 것은 어쩌면 당연한 일인지도 모른다.하지만 이 책, <살아갈 날들을 위한 공부>의 원작이 된 'Wise Thoughts for Every Day'에 대해서는 새로운 시각으로 바라보아야 할 필요성이 있다. 앞선 두 권의 책과는 달리 이 책은 톨스토이 자신의 깨달음을 시적으로 표현한 창작이 대부분을 차지하고 있기 때문이다. 생의 끄트머리에 이르러 삶의 진리에 천착하며.."
9,10,이 시대의 사랑,최승자,등단작으로 처녀 시집의 제목을 삼은 <이 시대의 사랑>에서 시인 최승자는 정통적인 수법으로는 감당할 수 없었던 뜨거운 비극적 정열을 뿜어 올리면서 이 시대가 부숴뜨려온 삶의 의미와 그것의 진정한 가치를 향해 절망적인 호소를 하고 있다. 이 호소는 하나의 여성이기에 앞서 인간으로서의 사랑과 자유로움을 위한 언어적 결단이기도 하다.
