,순위,책이름,저자,줄거리
0,1,생각의 지도,리처드 니스벳,"공자의 후손들과 아리스토텔레스의 후손들을 해부하는 비교문화 연구서. 교육, 과학, 사회, 경제생활, 의학, 언어습관, 계약 관행에 있어서의 동서양의 차이를 과학적으로 입증한 책이다. 저자는 동양과 서양의 사고 방식이 우열의 문제가 아닌, 상호보완적 관계에 있음을 이야기하면서 부분보다는 전체에 주의를 기울이는 동양의 '종합적' 사고방식과, 형식논리나 규칙을 사용하여 추리하는 서양의 '분석적' 사고방식의 차이점에 대해 논하고 있다."
1,2,생각의 탄생,"미셸 루트번스타인, 로버트 루트번스타인","천재들이 활용한 창조적 사고의 13가지 도구들『생각의 탄생』은 분야를 넘나들며 창조성을 빛낸 사람들의 13가지 생각도구를 전해주는 책이다. 레오나르도 다빈치, 아인슈타인, 파블로 피카소, 마르셀 뒤샹, 리처드 파인먼, 버지니아 울프, 나보코프, 제인 구달, 스트라빈스키, 마사 그레이엄 등 역사 속에서 가장 창조적이었던 사람들이 사용한 13가지 발상법을 생각의 단계별로 정리하였다.이 책은 역사상 가장 위대했던 천재들이 자신의 창작 경험을 통해 '생각'에 대해 어떻게 생각했으며, 생각하는 법을 어떻게 배웠는지를 구체적으로 설명하고 있다. 그들의 발상법을 관찰, 형상화, 추상, 패턴인식, 유추, 몸으로 생각하기, 감정이입 등 13단계로 나누어 논리정연하게 제시할 뿐만 아니라, 직관과 상상력을 갈고 닦아 창조성을 .."
2,3,예루살렘의 아이히만,한나 아렌트,"나치의 전범 아돌프 아이히만1906년 독일 졸링겐에서 태어난 아이히만은 1932년 비밀 나치당에 입당했고, 같은 해 하인리히 히믈러가 조직한 나치 친위대(SS) 정예부대에 들어갔다. 히믈러가 국가안전국(RSHA)을 창설했을 때 베를린에 있는 유대인 담당부서에서 일하게 되었다. 1942년 1월 베를린 근교에서 나치 고위관리들이 모여 유대인 문제의 '마지막 해결책'에 필요한 계획과 병참업무 준비에 관한 회의를 열었는데, 아이히만은 이 문제의 책임을 맡음으로써 사실상 대량학살을 뜻하는 이 마지막 해결책의 집행자가 되었다. 그는 유대인을 식별하고 집결시켜 그들을 집단수용소로 보내 죽음으로 몰아넣었다. 전쟁 뒤 아이히만은 미군에 붙잡혔으나 포로수용소에서 탈출했다. 이후 몇 년 동안 중동지역을 전.."
3,4,욕망의 진화,데이비드 버스,"남녀의 엇갈린 욕망에 숨겨진 진실을 파헤치다<욕망의 진화>는 인간 남녀의 서로 다른 욕망 아래 숨겨진 진화의 역사를 살펴보는 책이다. 1994년에 출간된 초판에 새로운 연구 성과를 덧붙인 2003년 개정판을 데이비드 버스의 제자이자 한국인 최초 진화심리학 박사인 전중환이 번역하였다. 남녀의 사랑, 연애, 섹스, 결혼의 실체를 밝히기 위해 먼 과거에서부터 현재에 이르기까지 수백만 년에 걸친 인간 진화의 역사를 파헤치고, 우리 마음 속 깊은 곳에 숨겨진 인간 본연의 성적 욕망을 드러낸다. 이 책은 진화심리학이라는 창을 통해 인간의 내면을 들여다봄으로써, 그에 대한 궁금증을 해결할 수 있는 기회를 제공한다. 저자는 다윈의 성선택 이론을 적용하여, 남녀의 배우자에 대한 선호도와 배우자를 차지하기 위한 경.."
4,5,타인의 고통,수전 손택," 오늘날 타인의 고통을 염려한다는 것은 어떤 의미일까? 지난 2003년 10월 12일 독일출판협회는 제55회 프랑크푸르트 국제도서전에서 수전 손택에게 평화상을 수여했다. “거짓 이미지와 뒤틀린 진실로 둘러싸인 세계에서 사상의 자유를 굳건히 수호해 왔다”는 것이 시상 이유였다. 독일출판협회가 잘 지적했듯이, 손택은 첫 저서 <해석에 반대한다>(1966)에서부터 최근작 <강조해야 할 것>(2002)에 이르기까지 기계로 대량 복제되는 이미지가 한 문화의 감수성을 어떻게 바꿔놓는지 다양한 방식으로 일관되게 추적해 왔다. 그리고 미군의 폭격기들이 한창 바그다드 외곽 지역을 폭격하고 있던 지난 3월 말에 출판된 이 책 <타인의 고통>은 그 노력의 결정판이다. 손택의 관찰에 따르면, 오늘.."
5,6,스키너의 심리상자 열기,로렌 슬레이터,"이 책은 ‘인간이란 무엇인가?’, ‘인간을 인간답게 만드는 것은 무엇인가?’ 와 같이 인간 심리와 본성에 관한 가설과 이론으로 세상을 놀라게 한 20세기 천재적인 심리학자와 정신 의학자들의 위대한 심리실험 10가지를 소개하고 있다.저자는 10가지 실험을 이야기로 풀어내면서 그것이 우리가 사는 세상에 어떤 현재적인 의미를 가지고 있는지를 질문하면서 동시대적 관점에서 재조명하고 있다. ‘인간의 행동은 보상과 처벌에 의해서 결정된다는 스키너의 행동주의가 습관에 의해 움직이는 쥐들의 신경적 상관물을 연구하는 오늘날의 신경생리학자들에게 어떤 의미를 지니는가?’의 식이다. 저자는 실험자와의 인터뷰와 개인적인 체험이 살아있는 생생한 서술 방식을 통하여 독자들에게 실험의 탄생 배경과 맥락, 함축적 의미까지를 소개하고 있다.."
6,7,강의,신영복,"감옥에서 시작된 동양고전과의 인연 내가 본격적으로 동양고전에 관심을 갖게 된 것은 아무래도 감옥에 들어간 이후입니다. 감옥에서는, 특히 독방에 앉아서는 모든 문제를 근본적인 지점에서 다시 생각하게 됩니다. 우선 나 자신을 돌이켜보게 됩니다. 유년 시절에서부터 내가 자라면서 받은 교육을 되돌아보게 되고 우리 사회가 지향했던 가치에 대해서 반성하게 됩니다. 일제 식민지 잔재에서부터 해방후의 예속적 정치권력, 부정과 부패 그리고 한국전쟁의 처참한 파괴와 상처가 채 가시지 않은 60년대의 환경에서 나는 대학 생활을 하였지요. 우리 것에 대한 최소한의 자부심마저 갖기 어려운 상황이었습니다. 이른바 ‘근대 기획’이 우리 사회의 목표였으며, 미국 문화와 유럽 문화를 다투어 받아들이고 그것으로 치장하려고 하였지요. 지금도.."
7,8,만들어진 신,리처드 도킨스,"신의 존재를 의심하라, 인간의 능력을 주목하라!신이라는 이름 뒤에 가려진 인간의 본성과 가치를 탐색하는 세기의 문제〈만들어진 신〉은 신이라는 이름 뒤에 가려진 인간의 본성과 가치를 살펴보는 책이다. 과학과 종교계에 파란을 일으킨「이기적 유전자」의 저자 리처드 도킨스의 최신작으로, 미국의 광적인 신앙을 비판하며 무신론자의 자긍심을 높이고자 했다. 저자는 신이 없음을 주장하면서, 오히려 신을 믿음으로써 벌어진 참혹한 전쟁과 기아와 빈곤 문제들을 일깨운다. 과학과 종교, 철학과 역사를 넘나들며 창조론의 이론적 모순과 잘못된 믿음이 가져온 결과를 역사적으로 고찰하고 있다. 이 책은 생물계의 복잡성이 이미 신에 의해 만들어졌다는 창조론을 과학과 사회학, 그리고 역사적 사례를 통해 논리적으로 조목조목 비판하고 있다. .."
8,9,일리아스,호메로스,"고대의 하늘로 맑게 울려 퍼진 호메로스의 이야기천병희 교수의 그리스 원전 번역의 <일리아스>의 개정판. 그리스 문화의 원형이자 서양 정신의 출발점인 호메로스의 대표작으로, 그리스 문학이 전하는 가장 오래된 작품이자 유럽 문학의 효시이다. 신의 뜻에 따라 트로이 전쟁을 수행하는 그리스군과 트로이군의 비극적인 운명, 즉 전쟁과 죽음과 삶에 대한 인간의 통찰을 1만 5693행에 담고 있다. 책 끝부분에 옮긴이 해설과 역주, 작품의 감상을 돕는 부록들을 수록해 고전 번역본의 완성도를 높여준다. <일리아스>의 주인공은 트로이 전쟁에서 가장 용감했던 그리스 장수, 신과 인간 사이에서 태어나 죽을 수밖에 없는 인간의 불행한 운명을 타고난 아킬레우스다. 그에게 불어닥친 거센 분노가 이 이야기를 끌고 .."
9,10,행복의 정복,버트런드 러셀,"활발한 사회활동을 펼친 20세기의 지성으로 유명한 러셀이 쓴 단 한 권의 행복론. 행복이란 끊임없이 쟁취해야 하는 것이라는 러셀의 목소리를 담은 이 책은, 행복 자체를 회의하게 만들 정도로 불쾌한 인간의 여러 속성들을 적나라하게 파헤치면서도, 인간에 대한 신뢰와 행복으로 가는 길을 포기하지 않는다. 어떻게 행복해질 것인가라는 물음에 대해 러셀 특유의 명쾌한 답면으로 인생의 의미와 지향을 제시함으로써, 한없이 약하면서도 한없이 위대한 인간을 읽게 하는 책이다. 　이 책은 크게 2부로 구성되어 있다. 1부에서 저자는 인간이 불행을 느끼는 일상적 원인을 분석하면서 그 극복 방안을 제시한다. 러셀이 생각하는 행복의 비결을 다룬 2부에서는 삶에 대한 열정과 폭넓은 관심을 강조하고, 사랑의 신비, 일의 소중함에 대해 .."
