,title,genre,year,date,rating,vote_count,plot,main_act,supp_act,page_url,img_url
0,355,액션|스릴러,2022,2.09,6.1,453,인류를 위협하는 사상 초유의 위기 발생! 글로벌 범죄조직에 의해 전 세계 국가 시스템을 초토화 시킬 일급 기밀 무기를 도난당하는 사건이 발생하고   요원   차스테인  전 세계 최정예 블랙 에이전트를 모아   결성한다. 하나의 목표를 위해 원팀이 된   역대급 미션을 수행하기 위한 비공식 합동작전에 돌입하는데… 월드클래스 블랙 에이전트     드디어 그들이 움직인다! 모두가 기다린 초대형 액션 블록버스터가 온다!,제시카 차스테인|다이앤 크루거|페넬로페 크루즈|루피타 뇽|판빙빙,세바스찬 스탠|에드가 라미레즈,https://movie.naver.com/movie/bi/mi/basic.naver?code=193794,https://movie-phinf.pstatic.net/20220209_85/1644381775023s7xf9_JPEG/movie_image.jpg?type=m77_110_2
1,가슴이 떨리는 건 너 때문,멜로/로맨스,2022,2.09,6.56,39,"고등학교 첫 학기, 전학생   보고 첫눈에 반해버린   친구들의 부추김에 마음을 고백했다가 단번에 차이고 만다. 고등학교   교내 최고의 인기남   친해지며 그의 사촌인     전 여자친구였다는 사실을 알게 된   마음은 다시금 동요하는데… 서투르지만 온 마음을 다해 좋아하고, 멀어져도 다시 한 발짝 다가가는, 달콤쌉쌀한 열아홉 청춘이 지금, 두근대기 시작한다!",우키쇼 히다카|시라이시 세이|이타가키 미즈키|하라 나노카,,https://movie.naver.com/movie/bi/mi/basic.naver?code=208899,https://movie-phinf.pstatic.net/20220209_141/1644385013256bohWP_JPEG/movie_image.jpg?type=m77_110_2
2,걸 위드 더 카메라 ,다큐멘터리,2022,1.2,9.75,8,보여지는 나와 바라보는 나는 어떻게 다를까?   어떤 사람일까? 나를 찾는 프로젝트       C  ,,,https://movie.naver.com/movie/bi/mi/basic.naver?code=199668,https://movie-phinf.pstatic.net/20211215_42/1639536109548EqHW6_JPEG/movie_image.jpg?type=m77_110_2
3,걸즈 앤 판처 최종장 제3화,애니메이션,2022,1.12,7.93,15,"첫 경기에서 강호   고교를 꺾고   오른 오아라이 여고 전차도 팀. 풀과 나무가 무성한 정글, 캄캄한 야전 환경 그리고 승리를 위해 온갖 돌격 전법으로 압박하는 치하탄 고교에 맞서 미호와 전차도 팀원들은 고군분투한다. 한편, 타 학교의 시합도 결과를 예측할 수 없는데… 과연 승리를 거머쥘 최종 우승 팀은 누구 ",후치가미 마이|카야노 아이|오자키 마미|나카가미 이쿠미|이구치 유카,,https://movie.naver.com/movie/bi/mi/basic.naver?code=212879,https://movie-phinf.pstatic.net/20211227_67/1640571900854IPypB_JPEG/movie_image.jpg?type=m77_110_2
4,경관의 피,범죄|드라마,2022,1.05,7.31,3016,"출처불명의 막대한 후원금을 받고 고급 빌라, 명품 수트, 외제차를 타며 범죄자들을 수사해온 광역수사대   팀에 어느 날 뼛속까지 원칙주의자인   투입된다.   특별한 수사 방식을 오픈하며 점차 가까워진 두 사람이 함께 신종 마약 사건을 수사하던 중     자신의 뒤를 파는 두더지, 즉 언더커버 경찰임을 알게 되고     둘러싼 숨겨진 경찰 조직의 비밀을 마주하게 되는데…",조진웅|최우식|박희순|권율|박명훈,이얼|홍기준|이현욱|백현진|박정범|원현준|손인용|연제욱|차엽|이도군|윤진영|김그림|임철형|곽민석|남문철|이성우|김준범|김재영|한갑수,https://movie.naver.com/movie/bi/mi/basic.naver?code=190400,https://movie-phinf.pstatic.net/20220105_199/1641360920302mcF0l_JPEG/movie_image.jpg?type=m77_110_2
5,굿 보스,드라마|코미디,2022,2.1,7.69,116,우수기업상 최종 후보에 오른   스케일즈  골칫거리 직원들 때문에 수상이 물 건너갈 판이다. 사장   이를 해결하기 위해 직접 나서지만 그가 개입할수록 상황은 점점 최악으로 치닫게 되고 겉 보기에 완벽했던   실체가 밝혀지는데…,하비에르 바르뎀|마놀로 솔로|알무데나 아모르|셀소 부갈로,소니아 알마챠,https://movie.naver.com/movie/bi/mi/basic.naver?code=207480,https://movie-phinf.pstatic.net/20220124_66/1643002330448kr6M7_JPEG/movie_image.jpg?type=m77_110_2
6,그 남자는 타이타닉을 보고 싶지 않았다,드라마|멜로/로맨스,2022,3.1,8.57,14,"난치병인 다발 경화증으로 시력과 기동성을 잃은 야코는 연인 시르파와 전화로 원거리 연애 중이다. 그러던 어느 날, 혈액염을 앓고 있는 시르파로부터 치료를 위한 약을 쓰면 죽을지도 모른다는 말을 듣는다. 야코는 천 킬로미터 떨어진 도시에 사는 연인을 만나기 위해서 안전한 집을 벗어나 위험천만한 여정을 떠나는데...",마리아나 마야라,,https://movie.naver.com/movie/bi/mi/basic.naver?code=210029,https://movie-phinf.pstatic.net/20220218_173/1645173439451U4jTq_JPEG/movie_image.jpg?type=m77_110_2
7,극장판 금빛 모자이크: 땡큐!!,애니메이션,2022,3.09,6.94,17,일본의 여고생들이 영국인 급우와 함께 교토로 수학여행을 떠나는 내용의 애니메이션,,,https://movie.naver.com/movie/bi/mi/basic.naver?code=213563,https://movie-phinf.pstatic.net/20220310_269/1646889589709wXXkA_JPEG/movie_image.jpg?type=m77_110_2
8,극장판 바다 탐험대 옥토넛 : 해저동굴 대탈출,애니메이션|액션|모험,2022,2.17,6.59,22,"아기 문어 코바를 집에 데려다 주기 위해 카리브해 산호초로 향하던 바나클 대장과 페이소. 그런데… 갑작스레 통신이 끊겼다  위기에 빠진 바나클 일행을 구하기 위해 옥토포드에 남은 옥토넛 대원들이 수색 작전을 펼친다. 탐험선   탐험선   탐험선 Q 모두 총출동! 울창한 정글을 지나 미로처럼 끝없이 이어진 수중동굴에 이르기까지, 바나클 일행을 찾기 위한 옥토넛 대원들의 짜릿한 대탈출 작전이 지금 바로 시작된다!",하성용|정재헌|엄상현|윤승희|김율|유동균|김정은|한경화|장미,,https://movie.naver.com/movie/bi/mi/basic.naver?code=212140,https://movie-phinf.pstatic.net/20220125_255/1643093997540IkJaG_JPEG/movie_image.jpg?type=m77_110_2
9,극장판 안녕 자두야: 제주도의 비밀,애니메이션,2022,1.27,8.7,184,"  제주도 가족여행에서 만난 엄친딸 제주 소녀   못마땅하다. 게다가   바라보는 저 하트 눈빛은 뭐람! 베프  를  가 독차지하자 화가 난   실수로 돌하르방을 넘어뜨리고, 먼 옛날 저주를 품고 봉인된   깨어난다.   쏜 돌하르방 빔에 맞은 사람들은 돌이 되어 굳어 버리고,   친구들은 모두를 원상태로 되돌릴 방법을 찾아 나서는데… 제주도로 자! 떠나보자 두! 명랑히어로   판타스틱 어드벤처! 제주도의 운명이 걸린 초특급 비밀은 과연 무엇일까?",여민정|김영은|정혜옥|정유미|양정화,,https://movie.naver.com/movie/bi/mi/basic.naver?code=208821,https://movie-phinf.pstatic.net/20220112_164/1641975601281jQC2c_JPEG/movie_image.jpg?type=m77_110_2
10,극장판 주술회전 0,애니메이션,2022,2.17,9.33,1095,"어릴 적 소꿉친구인 오리모토 리카를 교통사고로 눈앞에서 잃은 옷코츠 유타.   리카와 유타는 어른이 되면 결혼하기로” 옷코츠는 원령으로 변한 리카의 저주에 괴로워한 나머지, 자신도 죽기를 바라지만 최강의 주술사인 고죠 사토루에 의해 주술고전에 들어가게 된다. 그리고 동급생인 젠인 마키, 이누마키 토게, 판다를 만나면서 굳은 결심을 한다.   된다는 자신감이 필요해”   주술고전에서 리카의 저주를 풀겠습니다” 한편, 옷코츠와 친구들 앞에 과거에 일반인을 대량으로 학살해서 고전에서 추방된 최악의 주저사인 게토 스구루가 나타난다.     우리는 백귀야행을 결행한다” 주술사만의 낙원을 만들려는 게토는 비술사를 섬멸하겠다면서, 신주쿠와 교토에 천의 저주를 내리는데  옷코츠는 게토를 막을 수 있을까? 그리고 리카의 저주를 풀 수 있을까?",오가타 메구미|하나자와 카나|코마츠 미카코|우치야마 코우키|세키 토모카즈|나카무라 유이치|사쿠라이 타카히로,,https://movie.naver.com/movie/bi/mi/basic.naver?code=213733,https://movie-phinf.pstatic.net/20220217_242/1645084631470w6PTw_JPEG/movie_image.jpg?type=m77_110_2
11,극장판 천재 추리 탐정 셜록홈즈,애니메이션|모험,2022,1.27,9.5,50,"  런던! 날카로운 추리와 뛰어난 과학 지식을 겸비한 최고의 명탐정   부자들만 노리는 신출귀몰한 도둑   체포한다.   후, 출소가 얼마 남지 않은   버나드 캐슬 교도소의 악당   대결 후 누구도 상상하지 못한 기상천외한 방법으로 탈옥했다는 사실이 알려지는데  전설적인 대도둑   잡기 위한   상상초월 과학 추리가 시작된다!",석승훈|김용|서정익|박시윤,,https://movie.naver.com/movie/bi/mi/basic.naver?code=195491,https://movie-phinf.pstatic.net/20211220_70/1639982344158BiUFO_JPEG/movie_image.jpg?type=m77_110_2
12,나의 집은 어디인가,다큐멘터리|애니메이션,2022,4.07,9.2,5,"가장 보편적인 공간인   의미를 물으며 시작하는 이 다큐멘터리는   불리길 원하는 한 남성에게 가장 개인적인 이야기를 할 수 있는 안전한 공간을 만들어준다. 누나의 원피스를 입고 장 클로드 반담에 빠져있던 아프가니스탄 카불의 해맑은 소년이 코펜하겐의 성공한 학자가 되기까지   시간 동안, 그는 무채색의 시간 속을 걸어왔다. 진정한 미래를 살아가기 위해 자신의 과거를 직면해야 했던 한 남자의 실화를 다룬 애니메이션 다큐멘터리.",,,https://movie.naver.com/movie/bi/mi/basic.naver?code=194857,https://movie-phinf.pstatic.net/20220310_209/1646902211772zWjuJ_JPEG/movie_image.jpg?type=m77_110_2
13,나의 촛불,다큐멘터리,2022,2.1,6.16,1270,"부정부패와 국정농단으로 국민들을 우롱했던 날들. 대한민국의   만명이 한 목소리로 세상을 바꿨던 그때를 기억합니다. 전세계가 주목한 가장 위대했던 그때의 뒷 이야기들을 김의성, 주진우가 고영태, 김성태, 박영석, 손석희, 심상정, 유시민, 윤석열, 추미애, 그리고 촛불 시민들과 함께 모두 풀어냅니다.   불가능 할 것이라 했던 변화를 이끈 건 광화문에서 밝힌 국민들의 촛불이었다”",박영수|손석희|심상정|유시민|윤석열|추미애|고영태,,https://movie.naver.com/movie/bi/mi/basic.naver?code=191652,https://movie-phinf.pstatic.net/20220210_170/1644483687542F6GB5_JPEG/movie_image.jpg?type=m77_110_2
14,나의 히어로 아카데미아 더 무비: 월드 히어로즈 미션,애니메이션,2022,3.09,9.53,120,"전 세계 개성 보유자 섬멸을 목표로 하는 수수께끼 조직 휴머라이즈. 그들이 각국에 설치한   트리거 밤  사람들을 구하기 위해 세계 선발 히어로 팀이 결성된다! 세계 각국의 프로 히어로와 유에이 고교 히어로과 학생들이 소집되어 각 지역에서 폭탄 회수 임무를 맡게 되는데… 엔데버 사무소에서 인턴 중인 미도리야, 바쿠고, 토도로키는 오세온에서 작전 수행 중, 어떠한 사건에 휘말리게 되고 미도리야는 이를 계기로 만난 운반책 소년 로디와 함께 경찰, 빌런의 공격을 받으며 전국에 지명수배된다. 한편, 휴머라이즈의 지도자 플렉트 턴이 범행을 예고하며 세계는 패닉에 빠지고, 히어로 팀은 절체절명의 상황에 위험을 무릅쓰고 폭탄 회수에 나서는데… 제한시간은 단   전 세계와 히어로들의 미래가   손에 달렸다!",오카모토 노부히코|야마시타 다이키,,https://movie.naver.com/movie/bi/mi/basic.naver?code=214690,https://movie-phinf.pstatic.net/20220224_85/16456652379780SqrU_JPEG/movie_image.jpg?type=m77_110_2
15,나이트 레이더스,스릴러|미스터리|드라마|SF,2022,3.03,4.06,18,"서기 2   새로운 전쟁을 일으켜 대제국을 세우려는 국가 에머슨. 인간병기를 양성하기 위해 모든 아이들을 납치하고, 외딴 숲에서 칩거하던   결국 사랑하는 딸을 빼앗긴다. 1 개월 후, 예기치 못한 비밀이 하나둘 드러나고, 희망을 잃은 채 살아가던   딸을 되찾고자 국가의 중심부를 습격하기로 결심하는데…",엘레 마이아 테일페데스|브룩클린 르텍시에 하트|알렉스 태런트,,https://movie.naver.com/movie/bi/mi/basic.naver?code=202759,https://movie-phinf.pstatic.net/20220210_83/1644461379258dc39x_JPEG/movie_image.jpg?type=m77_110_2
16,나이트메어 앨리,범죄|드라마|스릴러,2022,2.23,8.16,432,"성공에 목마르고 욕망으로 가득 찬   절박한 상황에서 유랑극단에서 만난 독심술사   이용하여 사람의 마음을 간파하는 기술을 터득한다.   속이는 게 아냐, 사람들이 스스로를 속이는 거지” 수려한 외모, 현란한 화술, 마음을 현혹시키는 능력으로 뉴욕 상류층 상대로 부를 손에 쥐게 된   채워지지 않는 그의 위험한 욕망을 꿰뚫어 본 심리학자   박사는 뉴욕에서 가장 위험한 거물을 그에게 소개해 주는데…",브래들리 쿠퍼|케이트 블란쳇|토니 콜렛|윌렘 대포|리차드 젠킨스|루니 마라|론 펄먼|메리 스틴버겐|데이빗 스트라탄,,https://movie.naver.com/movie/bi/mi/basic.naver?code=192143,https://movie-phinf.pstatic.net/20220216_25/1644979622768ayXMn_JPEG/movie_image.jpg?type=m77_110_2
17,나일 강의 죽음,범죄|드라마|미스터리,2022,2.09,7.69,1224,"행복한 신혼부부를 태운 나일 강의 초호화 여객선 그곳에서 끔찍한 살인 사건이 벌어진다. 위태롭고 불길한 분위기의 선상에서 탑승객들을 심문하는 탐정   모두가 범인으로 의심되는 가운데, 연이어 발생한 살인 사건은 그의 영혼을 송두리째 뒤흔들고, 관객은 마지막 순간까지 예기치 못한 반전으로 놀라운 결말에 이르게 된다.",케네스 브래너,갤 가돗|레티티아 라이트|톰 베이트먼|에마 매키|아네트 베닝|아미 해머|로즈 레슬리,https://movie.naver.com/movie/bi/mi/basic.naver?code=191547,https://movie-phinf.pstatic.net/20220209_35/1644391235678J9KBy_JPEG/movie_image.jpg?type=m77_110_2
18,늦봄2020,다큐멘터리,2022,2.1,7.36,28,  만주 북간도의 독립운동가들의 이상촌에서 태어난 문익환 목사. 그는 일제의 탄압 속에 어릴 적 벗 윤동주를 잃고 유신정권의 폭정으로 친구 장준하를 잃었다. 또한 남북을 갈라놓은 휴전선 회담을 직접 통역하고 분단된 조국에 손을 내밀며 대한민국 근대사의 격량을 온몸으로 살아냈다. 전 생애를 통해 시대를 끌어안으며 고통받는 모든 곳에서 희망의 불씨를 피워낸 문익환 목사.   2   최초로 현존하는 육성 자료로 문익환의 목소리를 복원하여 그 시대의 생생함을 전달한다.,,,https://movie.naver.com/movie/bi/mi/basic.naver?code=203667,https://movie-phinf.pstatic.net/20220107_215/1641518556728kwywE_JPEG/movie_image.jpg?type=m77_110_2
19,대한민국 대통령,다큐멘터리,2022,2.17,7.98,51,"대통령의 대통령에 의한 대통령을 위한 지난 대한민국. 2       제2 대 대통령 선거가 다시 시작된다! < 은   찾아오는 대한민국 최고의 이벤트   앞두고, 정치인부터 국민들에게 직접 듣는   대한 솔직한 A     담았다.",,,https://movie.naver.com/movie/bi/mi/basic.naver?code=213599,https://movie-phinf.pstatic.net/20220126_281/1643180905296Nm46W_JPEG/movie_image.jpg?type=m77_110_2
20,더 마더,스릴러,2022,2.1,7.35,34,"한때 발레단의 프리마돈나였던 여자가 약물에 중독된 채 홀로 아이를 출산한다. 아이는커녕 제 몸 하나 돌볼 능력이 없던 그녀는 브로커에게 아이를 팔아버린다. 하지만 아이를 데려간 사람들이 유아 인신매매단이라는 충격적인 사실을 뒤늦게 알게 된다. 브로커를 처음 만났던 외딴 숲을 다시 찾아간 그녀. 낭만과 야만이 뒤섞인 듯, 기묘한 분위기를 풍기는 대저택에 이끌려 들어간다. 뜻 모를 붉은 표시들로 덧칠된 달력을 살펴보던 그녀는 정체 모를 여인들의 감시를 받고 있는 자신의 아기를 발견하게 되는데... 아무도 예상하지 못했던 결말이 기다리는 그곳에서 아이를 되찾아야만 하는 그녀의 필사적인 몸부림이 시작된다!",로지 데이|해리엇 샌섬 해리스|나탈리아 테나,,https://movie.naver.com/movie/bi/mi/basic.naver?code=197747,https://movie-phinf.pstatic.net/20220117_222/1642399219316lDQfO_JPEG/movie_image.jpg?type=m77_110_2
21,더 배트맨,액션|범죄|드라마,2022,3.01,7.16,4675,"지난   고담시의 어둠 속에서 범법자들을 응징하며 배트맨으로 살아온 브루스 웨인. 알프레드와 제임스 고든 경위의 도움 아래, 도시의 부패한 공직자들과 고위 관료들 사이에서 복수의 화신으로 활약한다. 고담의 시장 선거를 앞두고 고담의 엘리트 집단을 목표로 잔악한 연쇄살인을 저지르는 수수께끼 킬러 리들러가 나타나자, 최고의 탐정 브루스 웨인이 수사에 나서고 남겨진 단서를 풀어가며 캣우먼, 펭귄, 카마인 팔코네, 리들러를 차례대로 만난다. 사이코 범인의 미스터리를 수사하면서 그 모든 증거가 자신을 향한 의도적인 메시지였음을 깨닫고, 리들러에게 농락 당한 배트맨은 광기에 사로잡힌다. 범인의 무자비한 계획을 막고 오랫동안 고담시를 썩게 만든 권력 부패의 고리를 끊어야 하지만, 부모님의 죽음에 얽힌 진실이 밝혀지자 복수와 정의 사이에서 갈등한다. 선과 악, 빛과 어둠, 영웅과 악당, 정의와 복수.. 무엇을 선택할 것인가",로버트 패틴슨|폴 다노|조 크라비츠|앤디 서키스,제프리 라이트|콜린 파렐|피터 사스가드|존 터투로,https://movie.naver.com/movie/bi/mi/basic.naver?code=154282,https://movie-phinf.pstatic.net/20220214_120/1644825641315cvVKI_JPEG/movie_image.jpg?type=m77_110_2
22,데드락: 라스트 리벤지,액션|스릴러,2022,1.28,2.64,11,"마약 소굴을 급습하던 경찰의 실수로 아들이 현장에서 억울하게 죽었다고 생각하는 론은 복수를 결심한다. 무장한 용병을 이끌고 수력 발전소에 침입해 직원들을 인질로 삼고, 경찰의 잘못을 인정하지 않으면 마을 전체를 물에 잠기게 하겠다며 협박하는데...",브루스 윌리스|패트릭 멀둔,,https://movie.naver.com/movie/bi/mi/basic.naver?code=208819,https://movie-phinf.pstatic.net/20220124_267/1642992206668XUE2N_JPEG/movie_image.jpg?type=m77_110_2
23,도쿄 리벤저스,드라마|액션,2022,1.19,8.08,156,기대 없는 매일매일을 살아가는 2 대 청년 타케미치는 어느 날 뉴스를 통해 첫사랑 여자친구가 사고로 사망했다는 소식을 듣게 된다. 유일하게 자신을 있는 그대로 믿어주었던 그녀를 떠올리던 타케미치는 특별한 타임리프를 통해 1 년 전 고등학교 시절로 돌아가게 되고 그녀를 살리고 운명을 바꾸기 위해서는 자신이 변해야만 한다는 걸 깨닫게 되는데…,키타무라 타쿠미|이마다 미오|요시자와 료|야마다 유키|스기노 요스케|스즈키 노부유키|이소무라 하야토|마에다 고든|마미야 쇼타로|시미즈 히로야,,https://movie.naver.com/movie/bi/mi/basic.naver?code=196984,https://movie-phinf.pstatic.net/20211222_241/16401536577883njUH_JPEG/movie_image.jpg?type=m77_110_2
24,레벤느망,드라마,2022,3.1,7.79,75,"작가를 꿈꾸는 대학생   예기치 못한 임신 사실을 알게 된다. 낳으면 미혼모가 되고, 낳지 않으면 감옥에 가야 하는 현실. 의지와 상관없이 흘러가는 시간 속에서   어떤 대가를 치러서라도 끝까지 가기로 결심하는데…",아나마리아 바토로메이,,https://movie.naver.com/movie/bi/mi/basic.naver?code=207927,https://movie-phinf.pstatic.net/20220216_220/1644993214465pyQE5_JPEG/movie_image.jpg?type=m77_110_2
25,레이징 파이어,액션|범죄|드라마,2022,1.2,7.78,59,강력 범죄 수사대에서 함께 믿고 일하던 베테랑 경찰   그의 후배   어느 날 같은 임무를 맡은 두 사람은 돌이킬 수 없는 사건으로 인해 한순간에 운명이 뒤바뀌게 되고 동료에서 적이 되어버린다. 서로가 서로의 표적이 된 그들은 피할 수 없는 대결을 시작하게 되는데  둘 중 하나는 죽어야 끝난다!,견자단|사정봉,,https://movie.naver.com/movie/bi/mi/basic.naver?code=209551,https://movie-phinf.pstatic.net/20220127_215/1643246303031NkfGq_JPEG/movie_image.jpg?type=m77_110_2
26,레지던트 이블: 라쿤시티,액션|공포,2022,1.19,5.16,459,"거대 제약회사   철수한 후 폐허가 된   어릴 적 끔찍한 사건을 겪고 고향을 떠났던 클레어가 돌아온 그날 밤, 라쿤시티는 좀비 바이러스에 감염되어 순식간에 지옥으로 돌변한다. 남은 시간은   죽음의 도시를 탈출하라!",카야 스코델라리오|해나 존-케이먼|로비 아멜|톰 호퍼|에반 조지아|다널 로귀|닐 맥도프,,https://movie.naver.com/movie/bi/mi/basic.naver?code=212886,https://movie-phinf.pstatic.net/20220112_74/1641971955822pzUUa_JPEG/movie_image.jpg?type=m77_110_2
27,리코리쉬 피자,멜로/로맨스|드라마,2022,2.16,7.7,211,무엇이든 될 수 있을 것 같고 아무것도 될 수 없을 것 같은 사랑에 빠진 소년 개리와 불안한 2 대를 지나고 있는 알라나   어느 찬란한 여름날 청춘의 한복판으로 달려가는 그들의 이야기,알라나 하임|쿠퍼 호프만,숀 펜|톰 웨이츠|브래들리 쿠퍼|베니 사프디,https://movie.naver.com/movie/bi/mi/basic.naver?code=212656,https://movie-phinf.pstatic.net/20220117_245/1642401566922P8m5v_JPEG/movie_image.jpg?type=m77_110_2
28,리프레쉬,드라마|코미디,2022,2.16,7.63,62,"한때 잘 나갔던 가수 나   하지만 지금은 밤무대에 한 번 서기도 힘들다! 매니저 형이라고 가져오는 일들은 죄다 엉망진창! 그런데 이번에는 환자들 음악 수업까지 하라고? 그 사람들은 치료가 필요한 사람들이야! 거기에 환자들을 데리고 뮤직 콘테스트까지..? 하지만 더 이상 갈 곳이 없다..! 이 도전, 괜찮은걸까..?",KCM|홍경인|찬미,송하림|최현서|서승아|명현만|전예지|장재인,https://movie.naver.com/movie/bi/mi/basic.naver?code=213199,https://movie-phinf.pstatic.net/20220128_263/1643335505996o3Wfv_JPEG/movie_image.jpg?type=m77_110_2
29,만년이 지나도 변하지 않는 게 있어,멜로/로맨스|판타지,2022,2.09,6.74,334,"샤오미  사랑해 온   하지만 청혼하려던 순간 갑작스런 사고로 저승에 간다. 환생하고 싶으면 붉은 실로 커플 매칭을 하는 월하노인 업무를 수행해야 한다는데, 하필 사사건건   파트너가 된다. 드디어 이승으로 내려온   샤오룬과 핑키. 그런데 이게 웬 운명의 장난? 우리가 인연을 맺어줘야 할 인간이 샤오룬이 평생 사랑했던 단 한 사람, 샤오미란다!",가진동|송운화|왕정,마지상,https://movie.naver.com/movie/bi/mi/basic.naver?code=206024,https://movie-phinf.pstatic.net/20220110_156/1641804906380Hoyoe_JPEG/movie_image.jpg?type=m77_110_2
30,매미소리,드라마|가족,2022,2.24,9.78,167,"매미소리만 들으면 곡소리를 내는 딸,   곡소리 나는 초상집만 다니면 신명이 나는 아버지,   최악의 죽음을 맞이하려는 딸과 최고의 죽음을 찾으려는 아버지 진도의 어느 뜨거운 여름날 2 년 만에 마주친 부녀의 듣그러운 불협화음 한 판이 울려 퍼진다!",이양희|주보비|서연우|강두,권형준|김하진|조경현|박신혜|한도형|박원석|이창|송지우,https://movie.naver.com/movie/bi/mi/basic.naver?code=146418,https://movie-phinf.pstatic.net/20220204_29/1643942341174yYF96_JPEG/movie_image.jpg?type=m77_110_2
31,미결처리반 Q: 침묵의 암살자,범죄|스릴러,2022,1.27,10.0,1,"실종된 공무원의 여권 소지 혐의로 국경 통제소에   집시 소년 마르코가 체포되자 칼 마크와 그의 미해결 처리부서   여권과 관련된 과거 미결 실종사건에 대해 몇 가지 의심스러운 요소를 발견하게 된다. 사라진 공무원은 실종 직전 소아성애 혐의로 기소되고, 이 사건은 이례적으로   만에 빠르게 종결되었다는 것. 더 많은 단서를 찾기 위해 담당했던 형사와 실종자의 가족, 그리고 피해자까지 찾아가 보지만 제대로 된 실마리를 찾지 못한다. 정신적인 충격으로 모든 대화를 거부하고 침묵만 유지했던 유일한 목격자 소년 마르코가 갇혀있던 보호소에서 도주하고, 그 뒤를 추적하면서 어둠에 가려져 있던 범죄자들과 덴마크 금융계의 지원금 횡령, 수많은 사기 사건들이 드러나기 시작하는데…",율리히 톰센,,https://movie.naver.com/movie/bi/mi/basic.naver?code=212552,https://movie-phinf.pstatic.net/20220117_240/1642385234267zriPE_JPEG/movie_image.jpg?type=m77_110_2
32,미스터 앤 미세스 아델만,코미디|드라마|멜로/로맨스,2022,1.2,8.0,24,"      사라, 전략적 기회   파리의 낡은 클럽을 환히 밝히는 무명작가 빅터에게 한눈에 반해버렸다. 우연을 가장한 적극적인 전략으로 그의 주변을 맴돌며 나를 사랑하게 만들었다. 우리의 특별한 사랑으로 그는   필명으로 성공적인 작가 데뷔를 했다. 그러나 그의 인기가 높아질수록 나는 외로웠고, 이제 우리의 관계를 다시 쓰려 한다.       빅터, 사랑의 반전 곡선   사라는 나에게 영감을 불어넣는 인생의 뮤즈이자   팬이 되었다. 이제는 내 소설의 전부인 사라의 미소 없이는 글을 쓸 수도 숨을 쉴 수도 없다. 마침내 공쿠르상을 수상한 성공적인 작가가 되었지만, 세월이 흐를수록 아름다워지는 사라가 영영 내 곁을 떠날 것만 같아 두렵다.       미스터 앤 미세스 아델만 2   사라 아델만과 빅터 아델만의   드라마틱한 러브 스토리 그리고 필명   숨겨놓은 두 사람의 영원한 비밀 이야기",도리아 틸리에|니콜라스 베도스,드니 포달리데스|앙투안 구이|크리스티안 밀렛|삐에르 아르디티|자부 브레트만|줄리앙 부아셀리에|장-피에르 로릿|잭 랭|니콜라스 브리안콘,https://movie.naver.com/movie/bi/mi/basic.naver?code=167588,https://movie-phinf.pstatic.net/20211214_145/1639457181732CP8WJ_JPEG/movie_image.jpg?type=m77_110_2
33,미싱타는 여자들,다큐멘터리,2022,1.2,8.87,75,"  년대 평화시장에는 가난해서 혹은 여자라서 공부 대신 미싱을 타며   또는   불린 소녀들이 있었다 저마다 가슴에 부푼 꿈을 품고 향했던 노동교실 그곳에서 소녀들은 서로의 이름을 부르고, 노래를 하고, 희망을 키웠다 다른 시대를 살았던 청춘이 오늘의 청춘에게 보내온 편지",이숙희|신순애|임미경,,https://movie.naver.com/movie/bi/mi/basic.naver?code=198967,https://movie-phinf.pstatic.net/20211231_221/1640943026495adY12_JPEG/movie_image.jpg?type=m77_110_2
34,미인,다큐멘터리,2022,2.24,10.0,1,"밀가루와 당분이 넘쳐나는 밀당의 시대에도 백반의 민족인 우리 밥상을 굳건히 지키는 쌀! 그리고 그 쌀을 각기 다른 방식으로 키워나가는 농부들이 있다. 아버지로부터 가업을 이어 농사를 짓고 있는 젊은 농부 남호현은 코팅된 볍씨를 대량으로 뿌리는 농업용 드론으로 농사를 짓는데 도전하지만, 장밋빛 미래를 안겨줄 것만 같았던 신기술은 시행착오의 연속으로 끝없는 숙제만을 남긴다. 주말농사로 시작하다가 농사의 매력에 빠져든 도시농부 이근이는 기계보다는 농부의 손으로 직접 만지며 경작하는 소농의 삶을 살아가며, 우리가 몰랐던   여 종에 이르렀지만 역사 속에 사라진 전통 토종 벼의 세계를 연구하고 지켜간다. 정성으로 자라나서 행복으로 채워지며, 오랜 세월 변함없이 자연이 선물하는 생명의 힘을 고스란히 전해주는 우리 쌀! 그 감동의 대장정이 지금 시작된다!",이근이|남호현,,https://movie.naver.com/movie/bi/mi/basic.naver?code=214610,https://movie-phinf.pstatic.net/20220218_156/1645164854856XCTVQ_JPEG/movie_image.jpg?type=m77_110_2
