"selection1_name","selection1_url","selection1_selection6","selection1_selection2_name","selection1_selection2_url","selection1_selection2_selection3"
"영화를 찍으며 생각한 것","https://pedia.watcha.com/ko-KR/contents/b9RlbaY","고레에다 히로카즈 감독의 영화자서전 영화와 사람 그리고 세상에 대한 생각을 전하다 “영화는 백 년의 역사를 그 거대한 강에 가득 담고 내 앞을 유유히 흐르고 있었다. 강은 말라붙지 않았으며, 아마 앞으로도 형태를 ...","Laurent","https://pedia.watcha.com/ko-KR/users/3BnvwnOBZqPAY","4.5"
"영화를 찍으며 생각한 것","https://pedia.watcha.com/ko-KR/contents/b9RlbaY","고레에다 히로카즈 감독의 영화자서전 영화와 사람 그리고 세상에 대한 생각을 전하다 “영화는 백 년의 역사를 그 거대한 강에 가득 담고 내 앞을 유유히 흐르고 있었다. 강은 말라붙지 않았으며, 아마 앞으로도 형태를 ...","JoyKim","https://pedia.watcha.com/ko-KR/users/3BnvwNbO0qPAY","5.0"
"영화를 찍으며 생각한 것","https://pedia.watcha.com/ko-KR/contents/b9RlbaY","고레에다 히로카즈 감독의 영화자서전 영화와 사람 그리고 세상에 대한 생각을 전하다 “영화는 백 년의 역사를 그 거대한 강에 가득 담고 내 앞을 유유히 흐르고 있었다. 강은 말라붙지 않았으며, 아마 앞으로도 형태를 ...","붉은 돼지","https://pedia.watcha.com/ko-KR/users/36lvX947Z5Xdn","3.5"
"영화를 찍으며 생각한 것","https://pedia.watcha.com/ko-KR/contents/b9RlbaY","고레에다 히로카즈 감독의 영화자서전 영화와 사람 그리고 세상에 대한 생각을 전하다 “영화는 백 년의 역사를 그 거대한 강에 가득 담고 내 앞을 유유히 흐르고 있었다. 강은 말라붙지 않았으며, 아마 앞으로도 형태를 ...","김호중","https://pedia.watcha.com/ko-KR/users/K6Exj64WXxX1O","5.0"
"영화를 찍으며 생각한 것","https://pedia.watcha.com/ko-KR/contents/b9RlbaY","고레에다 히로카즈 감독의 영화자서전 영화와 사람 그리고 세상에 대한 생각을 전하다 “영화는 백 년의 역사를 그 거대한 강에 가득 담고 내 앞을 유유히 흐르고 있었다. 강은 말라붙지 않았으며, 아마 앞으로도 형태를 ...","134340","https://pedia.watcha.com/ko-KR/users/2mwvgLpo25Ma7","3.5"
"영화를 찍으며 생각한 것","https://pedia.watcha.com/ko-KR/contents/b9RlbaY","고레에다 히로카즈 감독의 영화자서전 영화와 사람 그리고 세상에 대한 생각을 전하다 “영화는 백 년의 역사를 그 거대한 강에 가득 담고 내 앞을 유유히 흐르고 있었다. 강은 말라붙지 않았으며, 아마 앞으로도 형태를 ...","김태영","https://pedia.watcha.com/ko-KR/users/g64qz7nERvER0","4.0"
"영화를 찍으며 생각한 것","https://pedia.watcha.com/ko-KR/contents/b9RlbaY","고레에다 히로카즈 감독의 영화자서전 영화와 사람 그리고 세상에 대한 생각을 전하다 “영화는 백 년의 역사를 그 거대한 강에 가득 담고 내 앞을 유유히 흐르고 있었다. 강은 말라붙지 않았으며, 아마 앞으로도 형태를 ...","이태훈","https://pedia.watcha.com/ko-KR/users/6Qgy51onVqDjk","4.5"
"영화를 찍으며 생각한 것","https://pedia.watcha.com/ko-KR/contents/b9RlbaY","고레에다 히로카즈 감독의 영화자서전 영화와 사람 그리고 세상에 대한 생각을 전하다 “영화는 백 년의 역사를 그 거대한 강에 가득 담고 내 앞을 유유히 흐르고 있었다. 강은 말라붙지 않았으며, 아마 앞으로도 형태를 ...","해묘","https://pedia.watcha.com/ko-KR/users/JZ4vBRBaWvRXO","3.0"
"영화를 찍으며 생각한 것","https://pedia.watcha.com/ko-KR/contents/b9RlbaY","고레에다 히로카즈 감독의 영화자서전 영화와 사람 그리고 세상에 대한 생각을 전하다 “영화는 백 년의 역사를 그 거대한 강에 가득 담고 내 앞을 유유히 흐르고 있었다. 강은 말라붙지 않았으며, 아마 앞으로도 형태를 ...","샌드","https://pedia.watcha.com/ko-KR/users/36lvXmWQZ5Xdn","3.5"
"지적자본론","https://pedia.watcha.com/ko-KR/contents/boNQYA2","사양 산업은 없다! 극심한 불황 속에서도 플러스 성장을 구가하는 ‘츠타야서점’, 이곳만의 ‘색다른 제안’에 주목하라. 전 세계적으로 경제 불황이 지속되고 있다. 더불어 경기 침체, 소비 위축 현상이 더욱 심각해지고 있...","JoyKim","https://pedia.watcha.com/ko-KR/users/3BnvwNbO0qPAY","3.0"
