title,구해줘,노멀 피플,변신,살인자의 기억법,아몬드,용의자 X의 헌신,잘못은 우리 별에 있어,종의 기원,테스,파우스트,총합계
userid,rating(합계),,,,,,,,,,
24BqEWE785rjn,4.0,3.5,4.0,3.0,4.5,3.5,3.0,4.5,2.5,3.0,35.5
2mwvg7EagvMa7,2.0,,,,,,,,,,2.0
2mwvgaAjwxMa7,,,,3.0,,4.0,,,,4.0,11.0
2mwvgbGLgqMa7,,,,,,,,,,4.0,4.0
2mwvgLpo25Ma7,3.0,,,,,,,,,3.5,6.5
2mwvgYmarxMa7,,,1.0,3.5,,4.0,,,,,8.5
36lvXmWQZ5Xdn,,,,3.0,,3.0,3.0,4.0,,4.0,17.0
3BnvwpKaj5PAY,,,,3.5,,,,,,,3.5
3BnvwZ6bZqPAY,,,,2.5,,2.5,,,,,5.0
4WLxZaDz65roA,,,,4.5,3.5,,,,,,8.0
4WLxZaXN75roA,,,,,3.5,,,,,,3.5
4WLxZB8nkxroA,,,,,,,,4.0,,4.5,8.5
4WLxZKgdmqroA,5.0,,,,,,3.0,,,,8.0
4WLxZmblW5roA,,3.5,,,,,,,,,3.5
4WLxZZ3wkxroA,,,,4.0,4.0,5.0,,3.5,,,16.5
4WLxZZ7D8xroA,,,,,4.0,,,3.5,,,7.5
6ADvG0XPK5zZl,,,,,,3.5,,,,,3.5
6ADvGZ98eqzZl,3.5,,,,,,,,,5.0,8.5
6ewxaPbAwO5Q1,,,,,,3.5,,,,,3.5
6NW5Qb02wx1Yo,,,3.0,4.5,,4.5,3.5,4.0,4.0,4.0,27.5
6NW5QB9Lyx1Yo,4.0,,,,3.5,3.5,4.5,,,,15.5
6NW5QzzJkx1Yo,3.0,,4.5,,4.5,4.5,,,,,16.5
7gdxdr7e9vGYJ,,,,,,3.0,3.5,3.5,,,10.0
87Gv741ND5E6o,3.5,,,4.5,,5.0,,,,,13.0
87Gv7bQzmqE6o,,,,,4.5,,,,,,4.5
8BRve6JpL56VJ,,,,,,,,2.5,,,2.5
박지수,,,,2.5,,,,,,4.0,6.5
a9L5PJm1Bqwg8,,,,,3.0,,,,,,3.0
a9L5sdfPwPPOvw,,,,4.5,,4.5,,,,,9.0
DgwxAeQYNxrMj,,3.0,,,,,,,,,3.0
DgwxAMlN6MxrM,,,,,3.0,,,,,,3.0
DgwxAOYkmvrMj,,,,4.0,,3.5,,,,,7.5
djaxbAlJ85Lw8,,,,3.5,,3.5,,,,,7.0
djaxbPXZmPvLw,5.0,,,,,5.0,,,5.0,,15.0
dP8v6EReBqWeJ,,,,,3.0,,,,,,3.0
dP8v6kzE85WeJ,4.0,,,,,4.5,,,,,8.5
g64qzYGMkLxER,4.0,,,,,,,,,,4.0
j4PxO4WKkqp0Q,,,,4.0,,,,,,,4.0
jae5W9dgaq1P3,,,,3.5,3.5,3.0,,,4.5,,14.5
jae5WedVaq1P3,2.5,,,,,,,,,5.0,7.5
JgAx88jRVxLbO,3.0,,3.5,3.5,2.0,4.0,,2.0,,4.0,22.0
JgAx8ddMwxLbO,,,,2.5,,,,,,4.5,7.0
JgAx8e8mDqLbO,,,,3.5,3.0,1.0,3.5,,,,11.0
JgkqlVwKb5X0b,,,,2.0,3.0,5.0,,,,,10.0
JYMKqmw6m5loD,,,,,3.0,,,,,,3.0
JZ4vB6BpJ4vRX,,,,4.0,,4.0,,,,,8.0
JZ4vBnwVlvRXO,,,,,,,,2.5,,,2.5
JZ4vBQBWZqRXO,1.5,,,,,,,,,,1.5
JZ4vBRBaWvRXO,4.0,,,3.0,,4.0,,,,4.0,15.0
K6ExjnbD8xX1O,2.0,,,4.0,,3.5,3.0,3.5,,,16.0
K8nPvyyY4vYo0,,,,,,4.0,,,,,4.0
KWRQxDPXVxdl9,,,,4.0,,,,,,,4.0
ld0q00rV4q6Xn,,,,,,,,,4.0,,4.0
live_all,,,,2.5,,,,,,4.0,6.5
Mr95nOEQlxZPG,3.0,,,4.0,4.0,,4.0,3.5,,,18.5
nkPvrQnADqgar,,,,,3.0,,,,,,3.0
NP9vLYm4Z56kl,,,,,,3.5,,,,,3.5
OQ9L5p9jKxNb0,,,,4.0,,,,,,,4.0
Pznx9Kb4QWv76,,,,5.0,,3.5,,3.5,,,12.0
Pznx9KKJNov76,,,,,,,,,,3.0,3.0
Pznx9O1Xjv761,,,,4.0,,2.5,,3.0,,,9.5
Pznx9Oaazv761,,,,3.0,3.0,,,4.5,,,10.5
Pznx9PVLn5761,,,,,2.0,,,3.5,,4.5,10.0
Q9L5pArzlLxNb,,,,,3.5,,,,,,3.5
Q9L5pJXkeqNb0,,5.0,3.5,,,,,,,5.0,13.5
Q9L5pzJG8qNb0,,,,3.0,,,,,,,3.0
Qgy510L2evDjk,,,,3.0,1.0,,,,2.5,,6.5
Qgy51YE8X5Djk,,,,,,4.0,,,,,4.0
R6OvK7DEYvN8V,3.0,,,4.0,3.5,4.0,,,,,14.5
RE952mkMKdvQ7,,,,2.5,2.5,3.5,,,,5.0,13.5
VRZv42pVwxr6y,4.0,,,4.0,4.0,4.0,,,,,16.0
VRZv48BKPvr6y,,,,4.0,3.0,,,,,,7.0
VRZv4BaEEnxr6,,,,3.5,,,,,4.0,,7.5
WRQxDBkjXvdl9,,,,3.5,,,,,,,3.5
WRQxDz3wDvdl9,,,,4.0,3.5,,,,,,7.5
WwRqoVAAyxlzB,,,,4.0,,,,,,,4.0
YaR5YNAAyxgX1,,3.5,,2.5,3.5,,,,,,9.5
YMKqmAWbrqloD,,,,5.0,,,,,,,5.0
YMKqmekarqloD,,,,3.5,3.0,4.0,,,,,10.5
YMKqmLrErxloD,1.0,,,2.5,,,,,0.5,5.0,9.0
YMKqmwrVr5loD,,,,3.0,3.5,,,,,,6.5
ZBm5Rgkl9xd46,,,,,,,,,4.0,,4.0
ZBm5RNnk95d46,,,4.5,,,,,,,,4.5
ZBm5RVn735d46,,,,,,,,,3.5,,3.5
zNM5N1gz7v26j,,,,3.5,,,,,,,3.5
ZWpqMMERlqrkn,3.5,,4.0,,,,,,4.5,,12.0
총합계,68.5,18.5,28.0,162.5,98.5,128.0,31.0,55.5,39.0,80.0,709.5
